alpha
sales_growth / cashflow
cashflow / sales_growth
sales_ps / cashflow
cashflow / sales_ps
SGA_expense / cashflow
cashflow / SGA_expense
working_capital / cashflow
cashflow / working_capital
cashflow_fin / cashflow_dividends
cashflow_dividends / cashflow_fin
cashflow_invst / cashflow_dividends
cashflow_dividends / cashflow_invst
cashflow_op / cashflow_dividends
cashflow_dividends / cashflow_op
cogs / cashflow_dividends
cashflow_dividends / cogs
current_ratio / cashflow_dividends
cashflow_dividends / current_ratio
debt / cashflow_dividends
cashflow_dividends / debt
debt_lt / cashflow_dividends
cashflow_dividends / debt_lt
debt_st / cashflow_dividends
cashflow_dividends / debt_st
depre_amort / cashflow_dividends
cashflow_dividends / depre_amort
EBIT / cashflow_dividends
cashflow_dividends / EBIT
EBITDA / cashflow_dividends
cashflow_dividends / EBITDA
employee / cashflow_dividends
cashflow_dividends / employee
enterprise_value / cashflow_dividends
cashflow_dividends / enterprise_value
eps / cashflow_dividends
cashflow_dividends / eps
equity / cashflow_dividends
cashflow_dividends / equity
goodwill / cashflow_dividends
cashflow_dividends / goodwill
income / cashflow_dividends
cashflow_dividends / income
income_beforeextra / cashflow_dividends
cashflow_dividends / income_beforeextra
income_tax / cashflow_dividends
cashflow_dividends / income_tax
interest_expense / cashflow_dividends
cashflow_dividends / interest_expense
inventory / cashflow_dividends
cashflow_dividends / inventory
inventory_turnover / cashflow_dividends
cashflow_dividends / inventory_turnover
invested_capital / cashflow_dividends
cashflow_dividends / invested_capital
liabilities / cashflow_dividends
cashflow_dividends / liabilities
liabilities_curr / cashflow_dividends
cashflow_dividends / liabilities_curr
operating_expense / cashflow_dividends
cashflow_dividends / operating_expense
operating_income / cashflow_dividends
cashflow_dividends / operating_income
ppent / cashflow_dividends
cashflow_dividends / ppent
pretax_income / cashflow_dividends
cashflow_dividends / pretax_income
rd_expense / cashflow_dividends
cashflow_dividends / rd_expense
receivable / cashflow_dividends
cashflow_dividends / receivable
retained_earnings / cashflow_dividends
cashflow_dividends / retained_earnings
return_assets / cashflow_dividends
cashflow_dividends / return_assets
return_equity / cashflow_dividends
cashflow_dividends / return_equity
revenue / cashflow_dividends
cashflow_dividends / revenue
sales / cashflow_dividends
cashflow_dividends / sales
sales_growth / cashflow_dividends
cashflow_dividends / sales_growth
sales_ps / cashflow_dividends
cashflow_dividends / sales_ps
SGA_expense / cashflow_dividends
cashflow_dividends / SGA_expense
working_capital / cashflow_dividends
cashflow_dividends / working_capital
cashflow_invst / cashflow_fin
cashflow_fin / cashflow_invst
cashflow_op / cashflow_fin
cashflow_fin / cashflow_op
cogs / cashflow_fin
cashflow_fin / cogs
current_ratio / cashflow_fin
cashflow_fin / current_ratio
debt / cashflow_fin
cashflow_fin / debt
debt_lt / cashflow_fin
cashflow_fin / debt_lt
debt_st / cashflow_fin
cashflow_fin / debt_st
depre_amort / cashflow_fin
cashflow_fin / depre_amort
EBIT / cashflow_fin
cashflow_fin / EBIT
EBITDA / cashflow_fin
cashflow_fin / EBITDA
employee / cashflow_fin
cashflow_fin / employee
enterprise_value / cashflow_fin
cashflow_fin / enterprise_value
eps / cashflow_fin
cashflow_fin / eps
equity / cashflow_fin
cashflow_fin / equity
goodwill / cashflow_fin
cashflow_fin / goodwill
income / cashflow_fin
cashflow_fin / income
income_beforeextra / cashflow_fin
cashflow_fin / income_beforeextra
income_tax / cashflow_fin
cashflow_fin / income_tax
interest_expense / cashflow_fin
cashflow_fin / interest_expense
inventory / cashflow_fin
cashflow_fin / inventory
inventory_turnover / cashflow_fin
cashflow_fin / inventory_turnover
invested_capital / cashflow_fin
cashflow_fin / invested_capital
liabilities / cashflow_fin
cashflow_fin / liabilities
liabilities_curr / cashflow_fin
cashflow_fin / liabilities_curr
operating_expense / cashflow_fin
cashflow_fin / operating_expense
operating_income / cashflow_fin
cashflow_fin / operating_income
ppent / cashflow_fin
cashflow_fin / ppent
pretax_income / cashflow_fin
cashflow_fin / pretax_income
rd_expense / cashflow_fin
cashflow_fin / rd_expense
receivable / cashflow_fin
cashflow_fin / receivable
retained_earnings / cashflow_fin
cashflow_fin / retained_earnings
return_assets / cashflow_fin
cashflow_fin / return_assets
return_equity / cashflow_fin
cashflow_fin / return_equity
revenue / cashflow_fin
cashflow_fin / revenue
sales / cashflow_fin
cashflow_fin / sales
sales_growth / cashflow_fin
cashflow_fin / sales_growth
sales_ps / cashflow_fin
cashflow_fin / sales_ps
SGA_expense / cashflow_fin
cashflow_fin / SGA_expense
working_capital / cashflow_fin
cashflow_fin / working_capital
cashflow_op / cashflow_invst
cashflow_invst / cashflow_op
cogs / cashflow_invst
cashflow_invst / cogs
current_ratio / cashflow_invst
cashflow_invst / current_ratio
debt / cashflow_invst
cashflow_invst / debt
debt_lt / cashflow_invst
cashflow_invst / debt_lt
debt_st / cashflow_invst
cashflow_invst / debt_st
depre_amort / cashflow_invst
cashflow_invst / depre_amort
EBIT / cashflow_invst
cashflow_invst / EBIT
EBITDA / cashflow_invst
cashflow_invst / EBITDA
employee / cashflow_invst
cashflow_invst / employee
enterprise_value / cashflow_invst
cashflow_invst / enterprise_value
eps / cashflow_invst
cashflow_invst / eps
equity / cashflow_invst
cashflow_invst / equity
goodwill / cashflow_invst
cashflow_invst / goodwill
income / cashflow_invst
cashflow_invst / income
income_beforeextra / cashflow_invst
cashflow_invst / income_beforeextra
income_tax / cashflow_invst
cashflow_invst / income_tax
interest_expense / cashflow_invst
cashflow_invst / interest_expense
inventory / cashflow_invst
cashflow_invst / inventory
inventory_turnover / cashflow_invst
cashflow_invst / inventory_turnover
invested_capital / cashflow_invst
cashflow_invst / invested_capital
liabilities / cashflow_invst
cashflow_invst / liabilities
liabilities_curr / cashflow_invst
cashflow_invst / liabilities_curr
operating_expense / cashflow_invst
cashflow_invst / operating_expense
operating_income / cashflow_invst
cashflow_invst / operating_income
ppent / cashflow_invst
cashflow_invst / ppent
pretax_income / cashflow_invst
cashflow_invst / pretax_income
rd_expense / cashflow_invst
cashflow_invst / rd_expense
receivable / cashflow_invst
cashflow_invst / receivable
retained_earnings / cashflow_invst
cashflow_invst / retained_earnings
return_assets / cashflow_invst
cashflow_invst / return_assets
return_equity / cashflow_invst
cashflow_invst / return_equity
revenue / cashflow_invst
cashflow_invst / revenue
sales / cashflow_invst
cashflow_invst / sales
sales_growth / cashflow_invst
cashflow_invst / sales_growth
sales_ps / cashflow_invst
cashflow_invst / sales_ps
SGA_expense / cashflow_invst
cashflow_invst / SGA_expense
working_capital / cashflow_invst
cashflow_invst / working_capital
cogs / cashflow_op
cashflow_op / cogs
current_ratio / cashflow_op
cashflow_op / current_ratio
debt / cashflow_op
cashflow_op / debt
debt_lt / cashflow_op
cashflow_op / debt_lt
debt_st / cashflow_op
cashflow_op / debt_st
depre_amort / cashflow_op
cashflow_op / depre_amort
EBIT / cashflow_op
cashflow_op / EBIT
EBITDA / cashflow_op
cashflow_op / EBITDA
employee / cashflow_op
cashflow_op / employee
enterprise_value / cashflow_op
cashflow_op / enterprise_value
eps / cashflow_op
cashflow_op / eps
equity / cashflow_op
cashflow_op / equity
goodwill / cashflow_op
cashflow_op / goodwill
income / cashflow_op
cashflow_op / income
income_beforeextra / cashflow_op
cashflow_op / income_beforeextra
income_tax / cashflow_op
cashflow_op / income_tax
interest_expense / cashflow_op
cashflow_op / interest_expense
inventory / cashflow_op
cashflow_op / inventory
inventory_turnover / cashflow_op
cashflow_op / inventory_turnover
invested_capital / cashflow_op
cashflow_op / invested_capital
liabilities / cashflow_op
cashflow_op / liabilities
liabilities_curr / cashflow_op
cashflow_op / liabilities_curr
operating_expense / cashflow_op
cashflow_op / operating_expense
operating_income / cashflow_op
cashflow_op / operating_income
ppent / cashflow_op
cashflow_op / ppent
pretax_income / cashflow_op
cashflow_op / pretax_income
rd_expense / cashflow_op
cashflow_op / rd_expense
receivable / cashflow_op
cashflow_op / receivable
retained_earnings / cashflow_op
cashflow_op / retained_earnings
return_assets / cashflow_op
cashflow_op / return_assets
return_equity / cashflow_op
cashflow_op / return_equity
revenue / cashflow_op
cashflow_op / revenue
sales / cashflow_op
cashflow_op / sales
sales_growth / cashflow_op
cashflow_op / sales_growth
sales_ps / cashflow_op
cashflow_op / sales_ps
SGA_expense / cashflow_op
cashflow_op / SGA_expense
working_capital / cashflow_op
cashflow_op / working_capital
current_ratio / cogs
cogs / current_ratio
debt / cogs
cogs / debt
debt_lt / cogs
cogs / debt_lt
debt_st / cogs
cogs / debt_st
depre_amort / cogs
cogs / depre_amort
EBIT / cogs
cogs / EBIT
EBITDA / cogs
cogs / EBITDA
employee / cogs
cogs / employee
enterprise_value / cogs
cogs / enterprise_value
eps / cogs
cogs / eps
equity / cogs
cogs / equity
goodwill / cogs
cogs / goodwill
income / cogs
cogs / income
income_beforeextra / cogs
cogs / income_beforeextra
income_tax / cogs
cogs / income_tax
interest_expense / cogs
cogs / interest_expense
inventory / cogs
cogs / inventory
inventory_turnover / cogs
cogs / inventory_turnover
invested_capital / cogs
cogs / invested_capital
liabilities / cogs
cogs / liabilities
liabilities_curr / cogs
cogs / liabilities_curr
operating_expense / cogs
cogs / operating_expense
operating_income / cogs
cogs / operating_income
ppent / cogs
cogs / ppent
pretax_income / cogs
cogs / pretax_income
rd_expense / cogs
cogs / rd_expense
receivable / cogs
cogs / receivable
retained_earnings / cogs
cogs / retained_earnings
return_assets / cogs
cogs / return_assets
return_equity / cogs
cogs / return_equity
revenue / cogs
cogs / revenue
sales / cogs
cogs / sales
sales_growth / cogs
cogs / sales_growth
sales_ps / cogs
cogs / sales_ps
SGA_expense / cogs
cogs / SGA_expense
working_capital / cogs
cogs / working_capital
debt / current_ratio
current_ratio / debt
debt_lt / current_ratio
current_ratio / debt_lt
debt_st / current_ratio
current_ratio / debt_st
depre_amort / current_ratio
current_ratio / depre_amort
EBIT / current_ratio
current_ratio / EBIT
EBITDA / current_ratio
current_ratio / EBITDA
employee / current_ratio
current_ratio / employee
enterprise_value / current_ratio
current_ratio / enterprise_value
eps / current_ratio
current_ratio / eps
equity / current_ratio
current_ratio / equity
goodwill / current_ratio
current_ratio / goodwill
income / current_ratio
current_ratio / income
